Altium Designer Pick and Place Locations
D:\eSpark Consultants\smartmasjid-hardware\Design Files\IoT-Speaker-v1.3\Project Outputs for IoT-Speaker-v1.3\Pick Place for IOT_Speaker-PCB-v1.3.csv

========================================================================================================================
File Design Information:

Date:       21/05/24
Time:       12:58
Revision:   2a03fc6f80d799cf1a794f2d0602e621db3f9f46
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C1","47.6784mm","-32.8377mm","TopLayer","237","47.6784mm","-32.8377mm","48.2318mm","-31.9856mm"
"C2","48.9992mm","-33.6251mm","TopLayer","237","48.9992mm","-33.6251mm","49.2552mm","-33.2310mm"
"C3","33.9923mm","-34.7230mm","TopLayer","270","33.9923mm","-34.7230mm","33.9923mm","-34.2531mm"
"C4","23.7307mm","-44.7376mm","BottomLayer","90","23.7307mm","-44.7376mm","23.7307mm","-45.4996mm"
"C5","32.5445mm","-34.4436mm","TopLayer","270","32.5445mm","-34.4436mm","32.5445mm","-33.4276mm"
"C6","40.0375mm","-37.0090mm","TopLayer","0","40.0375mm","-37.0090mm","39.0215mm","-37.0090mm"
"C7","36.9356mm","-27.6265mm","TopLayer","90","36.9356mm","-27.6265mm","36.9356mm","-28.0964mm"
"C9","24.8666mm","-5.0546mm","TopLayer","180","24.8666mm","-5.0546mm","25.3365mm","-5.0546mm"
"C10","55.7322mm","-11.8884mm","TopLayer","180","55.7322mm","-11.8884mm","56.2021mm","-11.8884mm"
"C11","55.7322mm","-9.3890mm","TopLayer","180","55.7322mm","-9.3890mm","56.2021mm","-9.3890mm"
"C12","29.4457mm","-44.7376mm","BottomLayer","90","29.4457mm","-44.7376mm","29.4457mm","-45.4996mm"
"C13","27.1018mm","-42.3164mm","BottomLayer","0","27.1018mm","-42.3164mm","26.0858mm","-42.3164mm"
"C14","9.3091mm","-32.2973mm","TopLayer","0","9.3091mm","-32.2973mm","8.5471mm","-32.2973mm"
"C15","10.6992mm","-45.9040mm","TopLayer","65","10.6992mm","-45.9040mm","10.5006mm","-46.3299mm"
"C16","23.0195mm","-39.4220mm","TopLayer","90","23.0195mm","-39.4220mm","23.0195mm","-40.4380mm"
"C17","6.4841mm","-29.7827mm","TopLayer","0","6.4841mm","-29.7827mm","6.0142mm","-29.7827mm"
"C18","21.0383mm","-38.9902mm","TopLayer","90","21.0383mm","-38.9902mm","21.0383mm","-39.4601mm"
"C19","41.8874mm","-1.2850mm","TopLayer","142.9","41.8874mm","-1.2850mm","42.2621mm","-1.5684mm"
"C20","16.7965mm","-39.8284mm","TopLayer","270","16.7965mm","-39.8284mm","16.7965mm","-39.3585mm"
"C21","32.2397mm","3.1569mm","TopLayer","168","32.2397mm","3.1569mm","32.6993mm","3.0592mm"
"C22","53.7281mm","-26.3410mm","TopLayer","73","53.7281mm","-26.3410mm","53.5907mm","-26.7904mm"
"C23","6.4841mm","-30.9257mm","TopLayer","0","6.4841mm","-30.9257mm","5.7221mm","-30.9257mm"
"C24","22.3246mm","2.8020mm","TopLayer","193","22.3246mm","2.8020mm","22.7824mm","2.9077mm"
"C25","15.5519mm","-39.7776mm","TopLayer","270","15.5519mm","-39.7776mm","15.5519mm","-39.0156mm"
"C26","14.1803mm","-39.7776mm","TopLayer","270","14.1803mm","-39.7776mm","14.1803mm","-39.0156mm"
"C74","33.0100mm","-25.5879mm","TopLayer","270","33.0100mm","-25.5879mm","33.0100mm","-24.8259mm"
"C75","35.0383mm","-21.2864mm","TopLayer","270","35.0383mm","-21.2864mm","35.0383mm","-20.5244mm"
"C76","29.0139mm","-18.7464mm","TopLayer","0","29.0139mm","-18.7464mm","28.2519mm","-18.7464mm"
"C77","28.2367mm","-21.2508mm","TopLayer","270","28.2367mm","-21.2508mm","28.2367mm","-20.4888mm"
"C78","29.3949mm","-21.3499mm","TopLayer","270","29.3949mm","-21.3499mm","29.3949mm","-20.8800mm"
"C79","34.4932mm","-49.8094mm","TopLayer","180","34.4932mm","-49.8094mm","35.7632mm","-49.8094mm"
"C83","13.4316mm","-35.6256mm","BottomLayer","0","13.4316mm","-35.6256mm","12.9617mm","-35.6256mm"
