Altium Designer Pick and Place Locations
C:\Users\MarsVirgo\Documents\GitHub\smartmasjid-hardware\Design Files\IoT-Speaker-v1.4\Project Outputs for IoT-Speaker-v1.4\Pick Place for IOT_Speaker-PCB-v1.4.csv

========================================================================================================================
File Design Information:

Date:       06/08/24
Time:       22:08
Revision:   fe82017549c9ae9684491c489a62b6cec4898468
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","47.6784","-32.8377","TopLayer","237"
"C2","48.9992","-33.6251","TopLayer","237"
"C3","33.9923","-34.7230","TopLayer","270"
"C4","23.7307","-44.7376","BottomLayer","90"
"C5","32.5445","-34.4436","TopLayer","270"
"C6","40.0375","-37.0090","TopLayer","0"
"C7","36.9356","-27.6265","TopLayer","90"
"C9","24.8666","-5.0546","TopLayer","180"
"C10","55.7322","-11.8884","TopLayer","180"
"C11","55.7322","-9.3890","TopLayer","180"
"C12","29.4457","-44.7376","BottomLayer","90"
"C13","27.1018","-42.3164","BottomLayer","0"
"C14","9.3091","-32.2973","TopLayer","0"
"C15","10.6992","-45.9040","TopLayer","65"
"C16","23.0195","-39.4220","TopLayer","90"
"C17","6.4841","-29.7827","TopLayer","0"
"C18","21.0383","-38.9902","TopLayer","90"
"C19","41.8874","-1.2850","TopLayer","142.9"
"C20","16.7965","-39.8284","TopLayer","270"
"C21","32.2397","3.1569","TopLayer","168"
"C22","53.7281","-26.3410","TopLayer","73"
"C23","6.4841","-30.9257","TopLayer","0"
"C24","22.3246","2.8020","TopLayer","193"
"C25","15.5519","-39.7776","TopLayer","270"
"C26","14.1803","-39.7776","TopLayer","270"
"C74","33.0100","-25.5879","TopLayer","270"
"C75","35.0383","-21.2864","TopLayer","270"
"C76","29.0139","-18.7464","TopLayer","0"
"C77","28.2367","-21.2508","TopLayer","270"
"C78","29.3949","-21.3499","TopLayer","270"
"C79","34.4932","-49.8094","TopLayer","180"
"C83","13.4316","-35.6256","BottomLayer","0"
"C102","40.1391","-13.6918","TopLayer","90"
"C103","41.7139","-13.6156","TopLayer","90"
"D1","31.6144","-45.9835","BottomLayer","270"
"D2","12.7832","-34.1996","BottomLayer","0"
"F1","32.7223","-44.3750","BottomLayer","0"
"FB1","43.3141","-13.6918","TopLayer","90"
"FB2","48.1401","-11.8884","TopLayer","0"
"FB3","48.1361","-7.9920","TopLayer","0"
"FB7","32.4683","-42.3176","BottomLayer","180"
"J1","53.6011","-36.4248","TopLayer","237"
"J2","27.6479","-49.5408","BottomLayer","180"
"J3","58.7498","-18.1984","TopLayer","270"
"J9","57.4501","-6.8344","TopLayer","113"
"L1","20.7335","-34.5960","TopLayer","180"
"L2","52.0873","-13.5782","TopLayer","90"
"L3","52.0873","-7.6890","TopLayer","270"
"LED1","46.2199","-23.3692","TopLayer","0"
"LED2","46.2199","-21.9722","TopLayer","0"
"LED3","52.4327","-0.4838","TopLayer","128"
"LED4","47.6829","-43.3844","TopLayer","40"
"LED5","7.1445","-42.3430","TopLayer","320"
"P2","27.9583","-38.2354","TopLayer","270"
"P3","27.9654","-40.5650","TopLayer","270"
"P4","38.8183","-1.6522","TopLayer","270"
"P5","33.3319","-1.5506","TopLayer","270"
"Q1","19.3346","-33.9862","BottomLayer","270"
"Q2","21.1652","-31.4004","BottomLayer","270"
"Q3","37.1571","-13.0466","TopLayer","0"
"Q6","14.2967","-32.1320","TopLayer","90"
"R1","28.2011","-44.7376","BottomLayer","270"
"R2","26.1646","-44.3941","BottomLayer","0"
"R3","49.3085","-23.3692","TopLayer","0"
"R4","49.3085","-21.9722","TopLayer","0"
"R5","32.1889","-32.0052","TopLayer","0"
"R6","36.5768","-25.0123","TopLayer","180"
"R7","18.1427","-41.5048","TopLayer","180"
"R8","19.7683","-42.2668","TopLayer","90"
"R9","16.2224","-34.3622","BottomLayer","0"
"R10","21.4884","-2.2098","TopLayer","270"
"R11","35.4807","-12.7672","TopLayer","90"
"R12","36.2681","-14.7230","TopLayer","0"
"R13","35.0845","-28.7528","TopLayer","180"
"R14","24.6959","-39.0470","TopLayer","270"
"R18","9.3091","-30.9257","TopLayer","180"
"R19","21.8511","-30.0048","TopLayer","0"
"R20","25.3238","-24.6160","TopLayer","270"
"R21","19.8445","-8.2816","TopLayer","90"
"R22","8.3891","-8.1546","TopLayer","90"
"R26","14.3089","-29.8245","TopLayer","0"
"R27","11.9503","-32.6690","TopLayer","90"
"R28","15.5467","-32.1320","BottomLayer","0"
"R29","25.1023","-0.1028","TopLayer","180"
"R30","22.9941","-2.2110","TopLayer","90"
"R31","43.7357","-9.4398","TopLayer","0"
"R32","43.7357","-10.9384","TopLayer","0"
"R34","43.7357","-7.9412","TopLayer","0"
"R35","43.7357","-6.4426","TopLayer","0"
"R36","36.9539","-8.8048","TopLayer","90"
"R37","32.7883","-8.8302","TopLayer","90"
"R38","31.4072","-8.7889","TopLayer","90"
"R39","35.4299","-8.8048","TopLayer","90"
"R54","16.2224","-35.6256","BottomLayer","180"
"R55","21.6867","-33.9880","BottomLayer","90"
"R56","22.5298","-29.8450","BottomLayer","180"
"R65","36.3951","-10.8114","TopLayer","180"
"R66","34.1091","-7.2300","TopLayer","90"
"R67","31.3818","-6.0813","TopLayer","90"
"R69","34.1122","-47.9552","TopLayer","180"
"SW1","14.7391","-47.7532","TopLayer","335"
"SW4","46.5705","5.1935","TopLayer","232.9"
"SW5","20.7442","10.5067","TopLayer","283"
"SW6","34.4575","10.5740","TopLayer","258"
"SW7","57.6143","-27.7888","TopLayer","73"
"SW8","8.6795","4.9460","TopLayer","308"
"U1","38.1325","-33.4276","TopLayer","0"
"U2","35.0845","-26.8966","TopLayer","0"
"U3","19.0445","-39.6720","TopLayer","0"
"U4","14.7307","-19.3560","TopLayer","90"
"U7","31.9603","-21.1340","TopLayer","180"
"U8","25.4985","-2.9628","TopLayer","180"
"U16","39.8749","-10.0594","TopLayer","0"
